,Dated,Normal care,Intensive care,Intensive care. 1,Cumulative Number of Death,Hospital discharges,Cumulative number of positives,Number of positives,Number of tests performed,Number of cumulative tests carried out,Positivity Rate,Death per day,Month
434,2021-05-03,65.0,32,32.0,802.0,14,67612.0,177.0,8989.0,2684468.0,1.9690733118255648,0.0,2021-05
435,2021-05-04,54.0,34,34.0,802.0,15,67795.0,183.0,9435.0,2693903.0,1.9395866454689985,0.0,2021-05
436,2021-05-05,53.0,33,33.0,803.0,11,67949.0,154.0,8651.0,2702554.0,1.7801410241590567,1.0,2021-05
437,2021-05-06,54.0,32,32.0,803.0,12,68083.0,134.0,8800.0,2711354.0,1.5227272727272727,0.0,2021-05
438,2021-05-07,55.0,31,31.0,804.0,14,68230.0,147.0,10761.0,2722115.0,1.366044047950934,1.0,2021-05
439,2021-05-08,56.0,31,31.0,804.0,7,68341.0,111.0,6350.0,2728465.0,1.748031496062992,0.0,2021-05
440,2021-05-09,53.0,31,31.0,806.0,8,68355.0,14.0,432.0,2728897.0,3.2407407407407405,2.0,2021-05
441,2021-05-10,52.0,30,30.0,807.0,12,68483.0,128.0,10012.0,2738909.0,1.278465840990811,1.0,2021-05
442,2021-05-11,54.0,30,30.0,807.0,13,68671.0,188.0,9036.0,2747945.0,2.080566622399292,0.0,2021-05
443,2021-05-12,45.0,30,30.0,807.0,17,68830.0,159.0,11353.0,2759298.0,1.4005108781819784,0.0,2021-05
444,2021-05-13,38.0,29,29.0,807.0,3,68854.0,24.0,1053.0,2760351.0,2.2792022792022792,0.0,2021-05
445,2021-05-14,42.0,29,29.0,807.0,16,68962.0,108.0,10334.0,2770685.0,1.045093864911941,0.0,2021-05
446,2021-05-15,35.0,28,28.0,808.0,6,69063.0,101.0,7339.0,2778024.0,1.3762092928191851,1.0,2021-05
447,2021-05-16,35.0,28,28.0,809.0,6,69083.0,20.0,588.0,2778612.0,3.4013605442176873,1.0,2021-05
448,2021-05-17,32.0,29,29.0,809.0,7,69136.0,53.0,8725.0,2787337.0,0.6074498567335244,0.0,2021-05
449,2021-05-18,38.0,21,21.0,809.0,12,69301.0,165.0,9931.0,2797268.0,1.6614641023059107,0.0,2021-05
450,2021-05-19,33.0,18,18.0,811.0,7,69369.0,68.0,10398.0,2807666.0,0.6539719176764763,2.0,2021-05
451,2021-05-20,28.0,17,17.0,811.0,11,69419.0,50.0,14462.0,2822128.0,0.34573364679850643,0.0,2021-05
452,2021-05-21,23.0,17,17.0,811.0,6,69484.0,65.0,16526.0,2838654.0,0.39331961757231026,0.0,2021-05
453,2021-05-22,23.0,17,17.0,812.0,5,69569.0,85.0,11099.0,2849753.0,0.7658347598882782,1.0,2021-05
454,2021-05-23,19.0,17,17.0,812.0,4,69578.0,9.0,978.0,2850731.0,0.9202453987730062,0.0,2021-05
455,2021-05-24,17.0,17,17.0,812.0,1,69579.0,1.0,420.0,2851151.0,0.2380952380952381,0.0,2021-05
456,2021-05-25,17.0,17,17.0,812.0,3,69669.0,90.0,8842.0,2859993.0,1.0178692603483375,0.0,2021-05
457,2021-05-26,17.0,15,15.0,813.0,5,69749.0,80.0,9699.0,2869692.0,0.824827301783689,1.0,2021-05
458,2021-05-27,20.0,12,12.0,815.0,7,69830.0,81.0,9425.0,2879117.0,0.8594164456233422,2.0,2021-05
459,2021-05-28,20.0,12,12.0,815.0,6,69889.0,59.0,9837.0,2888954.0,0.5997763545796483,0.0,2021-05
460,2021-05-29,21.0,11,11.0,816.0,1,69932.0,43.0,5930.0,2894884.0,0.7251264755480608,1.0,2021-05
461,2021-05-30,19.0,8,8.0,816.0,3,69932.0,0.0,337.0,2895221.0,0.0,0.0,2021-05
462,2021-05-31,17.0,7,7.0,817.0,6,69983.0,51.0,9565.0,2904786.0,0.5331939362258233,1.0,2021-05
463,2021-06-01,16.0,5,5.0,818.0,3,70027.0,44.0,6665.0,2911451.0,0.660165041260315,1.0,2021-06
464,2021-06-02,13.0,3,3.0,818.0,7,70088.0,61.0,6882.0,2918333.0,0.8863702412089509,0.0,2021-06
465,2021-06-03,14.0,3,3.0,818.0,4,70182.0,94.0,8410.0,2926743.0,1.117717003567182,0.0,2021-06
466,2021-06-04,15.0,3,3.0,818.0,2,70216.0,34.0,9696.0,2936439.0,0.35066006600660066,0.0,2021-06
467,2021-06-05,15.0,2,2.0,818.0,2,70253.0,37.0,5760.0,2942199.0,0.642361111111111,0.0,2021-06
468,2021-06-06,14.0,2,2.0,818.0,0,70256.0,3.0,295.0,2942494.0,1.0169491525423728,0.0,2021-06
469,2021-06-07,16.0,2,2.0,818.0,2,70291.0,35.0,8326.0,2950820.0,0.4203699255344704,0.0,2021-06
470,2021-06-08,17.0,3,3.0,818.0,8,70343.0,52.0,6288.0,2957108.0,0.826972010178117,0.0,2021-06
471,2021-06-09,11.0,2,2.0,818.0,4,70383.0,40.0,7094.0,2964202.0,0.563856780377784,0.0,2021-06
472,2021-06-10,11.0,1,1.0,818.0,1,70406.0,23.0,8056.0,2972258.0,0.2855014895729891,0.0,2021-06
473,2021-06-11,13.0,1,1.0,818.0,3,70427.0,21.0,9901.0,2982159.0,0.2120997879002121,0.0,2021-06
474,2021-06-12,9.0,1,1.0,818.0,2,70444.0,17.0,5713.0,2987872.0,0.29756695256432697,0.0,2021-06
475,2021-06-13,8.0,1,1.0,818.0,0,70445.0,1.0,367.0,2988239.0,0.2724795640326975,0.0,2021-06
476,2021-06-14,8.0,2,2.0,818.0,4,70466.0,21.0,7430.0,2995669.0,0.2826379542395693,0.0,2021-06
477,2021-06-15,6.0,2,2.0,818.0,3,70485.0,19.0,7143.0,3002812.0,0.2659946801063979,0.0,2021-06
478,2021-06-16,8.0,2,2.0,818.0,3,70503.0,18.0,7044.0,3009856.0,0.2555366269165247,0.0,2021-06
479,2021-06-17,7.0,2,2.0,818.0,3,70516.0,13.0,6996.0,3016852.0,0.18582046883933678,0.0,2021-06
480,2021-06-18,5.0,2,2.0,818.0,9,70527.0,11.0,11731.0,3028583.0,0.09376864717415395,0.0,2021-06
481,2021-06-19,3.0,2,2.0,819.0,1,70535.0,8.0,5674.0,3034257.0,0.14099400775467041,1.0,2021-06
482,2021-06-20,3.0,2,2.0,819.0,0,70535.0,0.0,347.0,3034604.0,0.0,0.0,2021-06
483,2021-06-21,3.0,2,2.0,819.0,2,70547.0,12.0,7453.0,3042057.0,0.16100898966858984,0.0,2021-06
484,2021-06-22,2.0,2,2.0,819.0,3,70582.0,35.0,8855.0,3050912.0,0.3952569169960474,0.0,2021-06
485,2021-06-23,3.0,2,2.0,819.0,1,70586.0,4.0,489.0,3051401.0,0.81799591002045,0.0,2021-06
486,2021-06-24,3.0,2,2.0,819.0,1,70600.0,14.0,8089.0,3059490.0,0.1730745456793176,0.0,2021-06
487,2021-06-25,3.0,1,1.0,819.0,3,70619.0,19.0,9054.0,3068544.0,0.20985199911641267,0.0,2021-06
488,2021-06-26,6.0,1,1.0,819.0,0,70637.0,18.0,4965.0,3073509.0,0.36253776435045315,0.0,2021-06
489,2021-06-27,4.0,1,1.0,819.0,2,70642.0,5.0,276.0,3073785.0,1.8115942028985508,0.0,2021-06
490,2021-06-28,4.0,1,1.0,819.0,2,70695.0,53.0,6407.0,3080192.0,0.8272202278757609,0.0,2021-06
491,2021-06-29,5.0,1,1.0,819.0,2,70787.0,92.0,4386.0,3084578.0,2.097583219334245,0.0,2021-06
492,2021-06-30,3.0,1,1.0,819.0,1,70895.0,108.0,5115.0,3089693.0,2.1114369501466275,0.0,2021-06
493,2021-07-01,2.0,1,1.0,819.0,1,71031.0,136.0,6122.0,3095815.0,2.2214962430578242,0.0,2021-07
494,2021-07-02,1.0,1,1.0,819.0,0,71225.0,194.0,8409.0,3104224.0,2.307051968129385,0.0,2021-07
495,2021-07-03,2.0,1,1.0,819.0,0,71420.0,195.0,4594.0,3108818.0,4.244666956900304,0.0,2021-07
496,2021-07-04,3.0,1,1.0,819.0,0,71429.0,9.0,342.0,3109160.0,2.631578947368421,0.0,2021-07
497,2021-07-05,4.0,1,1.0,819.0,2,71547.0,118.0,5833.0,3114993.0,2.022972741299503,0.0,2021-07
498,2021-07-06,4.0,1,1.0,820.0,0,71748.0,201.0,7049.0,3122042.0,2.851468293374947,1.0,2021-07
499,2021-07-07,4.0,1,1.0,820.0,1,71879.0,131.0,7072.0,3129114.0,1.8523755656108598,0.0,2021-07
500,2021-07-08,5.0,1,1.0,820.0,2,72010.0,131.0,7592.0,3136706.0,1.72550052687039,0.0,2021-07
501,2021-07-09,6.0,1,1.0,820.0,2,72137.0,127.0,9739.0,3146445.0,1.3040353219016327,0.0,2021-07
502,2021-07-10,10.0,1,1.0,820.0,1,72250.0,113.0,5679.0,3152124.0,1.9897869343194226,0.0,2021-07
503,2021-07-11,12.0,2,2.0,820.0,1,72258.0,8.0,339.0,3152463.0,2.359882005899705,0.0,2021-07
504,2021-07-12,11.0,2,2.0,820.0,4,72393.0,135.0,7202.0,3159665.0,1.8744793113024159,0.0,2021-07
505,2021-07-13,7.0,3,3.0,820.0,1,72511.0,118.0,6314.0,3165979.0,1.8688628444726005,0.0,2021-07
506,2021-07-14,7.0,4,4.0,820.0,2,72634.0,123.0,8738.0,3174717.0,1.407644769970245,0.0,2021-07
507,2021-07-15,6.0,5,5.0,821.0,3,72761.0,127.0,9402.0,3184119.0,1.350776430546692,1.0,2021-07
508,2021-07-16,9.0,4,4.0,822.0,2,72894.0,133.0,10547.0,3194666.0,1.2610220915900257,1.0,2021-07
509,2021-07-17,10.0,5,5.0,822.0,3,72978.0,84.0,7323.0,3201989.0,1.1470708725931995,0.0,2021-07
510,2021-07-18,8.0,5,5.0,822.0,3,72985.0,7.0,358.0,3202347.0,1.9553072625698324,0.0,2021-07
511,2021-07-19,13.0,6,6.0,822.0,5,73075.0,90.0,7402.0,3209749.0,1.215887597946501,0.0,2021-07
512,2021-07-20,11.0,6,6.0,822.0,5,73215.0,140.0,6240.0,3215989.0,2.2435897435897436,0.0,2021-07
513,2021-07-21,11.0,6,6.0,822.0,2,73309.0,94.0,6248.0,3222237.0,1.5044814340588988,0.0,2021-07
514,2021-07-22,15.0,5,5.0,822.0,6,73412.0,103.0,7194.0,3229431.0,1.4317486794551015,0.0,2021-07
515,2021-07-23,19.0,3,3.0,822.0,8,73487.0,75.0,9840.0,3239271.0,0.7621951219512195,0.0,2021-07
516,2021-07-24,24.0,3,3.0,822.0,5,73548.0,61.0,6502.0,3245773.0,0.9381728698861889,0.0,2021-07
517,2021-07-25,24.0,2,2.0,823.0,3,73552.0,4.0,313.0,3246086.0,1.2779552715654952,1.0,2021-07
518,2021-07-26,23.0,3,3.0,823.0,6,73640.0,88.0,6062.0,3252148.0,1.4516661167931375,0.0,2021-07
519,2021-07-27,19.0,3,3.0,823.0,1,73747.0,107.0,6149.0,3258297.0,1.7401203447715077,0.0,2021-07
520,2021-07-28,20.0,3,3.0,823.0,4,73817.0,70.0,7191.0,3265488.0,0.9734390209984702,0.0,2021-07
521,2021-07-29,17.0,5,5.0,823.0,4,73871.0,54.0,9128.0,3274616.0,0.5915863277826467,0.0,2021-07
522,2021-07-30,18.0,6,6.0,823.0,5,73936.0,65.0,10371.0,3284987.0,0.6267476617491081,0.0,2021-07
523,2021-07-31,18.0,6,6.0,823.0,2,73986.0,50.0,7048.0,3292035.0,0.7094211123723042,0.0,2021-07
524,2021-08-01,18.0,7,7.0,823.0,1,73991.0,5.0,295.0,3292330.0,1.694915254237288,0.0,2021-08
525,2021-08-02,18.0,7,7.0,823.0,4,74043.0,52.0,6368.0,3298698.0,0.8165829145728644,0.0,2021-08
526,2021-08-03,21.0,5,5.0,824.0,6,74144.0,101.0,5183.0,3303881.0,1.9486783715994598,1.0,2021-08
527,2021-08-04,15.0,5,5.0,824.0,4,74212.0,68.0,5396.0,3309277.0,1.2601927353595257,0.0,2021-08
528,2021-08-05,17.0,5,5.0,824.0,3,74262.0,50.0,5475.0,3314752.0,0.91324200913242,0.0,2021-08
529,2021-08-06,15.0,6,6.0,824.0,2,74339.0,77.0,8334.0,3323086.0,0.9239260859131269,0.0,2021-08
530,2021-08-07,15.0,6,6.0,824.0,1,74393.0,54.0,5006.0,3328092.0,1.0787055533359968,0.0,2021-08
531,2021-08-08,14.0,7,7.0,825.0,1,74395.0,2.0,263.0,3328355.0,0.7604562737642585,1.0,2021-08
532,2021-08-09,15.0,6,6.0,825.0,5,74437.0,42.0,4306.0,3332661.0,0.9753831862517418,0.0,2021-08
533,2021-08-10,11.0,6,6.0,827.0,2,74498.0,61.0,5052.0,3337713.0,1.2074425969912905,2.0,2021-08
534,2021-08-11,13.0,6,6.0,827.0,3,74545.0,47.0,3287.0,3341000.0,1.4298752662001823,0.0,2021-08
535,2021-08-12,15.0,6,6.0,828.0,2,74595.0,50.0,6138.0,3347138.0,0.8145975887911373,1.0,2021-08
536,2021-08-13,14.0,6,6.0,828.0,1,74644.0,49.0,5875.0,3353013.0,0.8340425531914895,0.0,2021-08
537,2021-08-14,14.0,6,6.0,828.0,1,74683.0,39.0,4305.0,3357318.0,0.9059233449477353,0.0,2021-08
538,2021-08-15,19.0,6,6.0,828.0,1,74690.0,7.0,280.0,3357598.0,2.5,0.0,2021-08
539,2021-08-16,21.0,6,6.0,828.0,2,74779.0,89.0,5864.0,3363462.0,1.5177353342428377,0.0,2021-08
540,2021-08-17,22.0,5,5.0,829.0,5,74855.0,76.0,4278.0,3367740.0,1.7765310892940627,1.0,2021-08
541,2021-08-18,20.0,5,5.0,830.0,6,74918.0,63.0,3702.0,3371442.0,1.7017828200972445,1.0,2021-08
542,2021-08-19,18.0,3,3.0,830.0,4,74985.0,67.0,4313.0,3375755.0,1.5534430790632971,0.0,2021-08
543,2021-08-20,17.0,3,3.0,830.0,9,75067.0,82.0,6019.0,3381774.0,1.3623525502575178,0.0,2021-08
544,2021-08-21,11.0,4,4.0,830.0,4,75122.0,55.0,3582.0,3385356.0,1.5354550530429927,0.0,2021-08
545,2021-08-22,15.0,5,5.0,830.0,2,75130.0,8.0,349.0,3385705.0,2.292263610315186,0.0,2021-08
546,2021-08-23,18.0,5,5.0,830.0,5,75216.0,86.0,5115.0,3390820.0,1.6813294232649074,0.0,2021-08
547,2021-08-24,17.0,5,5.0,830.0,4,75312.0,96.0,4122.0,3394942.0,2.3289665211062593,0.0,2021-08
548,2021-08-25,21.0,5,5.0,830.0,3,75442.0,130.0,3954.0,3398896.0,3.2878098128477493,0.0,2021-08
549,2021-08-26,30.0,5,5.0,830.0,10,75517.0,75.0,4466.0,3403362.0,1.6793551276309895,0.0,2021-08
550,2021-08-27,22.0,8,8.0,830.0,7,75605.0,88.0,6039.0,3409401.0,1.4571948998178506,0.0,2021-08
551,2021-08-28,22.0,6,6.0,830.0,4,75664.0,59.0,3452.0,3412853.0,1.7091541135573582,0.0,2021-08
552,2021-08-29,19.0,6,6.0,830.0,3,75672.0,8.0,201.0,3413054.0,3.9800995024875623,0.0,2021-08
553,2021-08-30,18.0,7,7.0,830.0,2,75760.0,88.0,5435.0,3418489.0,1.6191352345906165,0.0,2021-08
554,2021-08-31,21.0,8,8.0,830.0,8,75904.0,144.0,4957.0,3423446.0,2.9049828525317736,0.0,2021-08
555,2021-09-01,19.0,8,8.0,830.0,1,75981.0,77.0,4648.0,3428094.0,1.6566265060240966,0.0,2021-09
556,2021-09-02,24.0,9,9.0,830.0,5,76102.0,121.0,4707.0,3432801.0,2.5706394731251327,0.0,2021-09
557,2021-09-03,21.0,10,10.0,831.0,3,76158.0,56.0,5949.0,3438750.0,0.9413346780971592,1.0,2021-09
558,2021-09-04,21.0,11,11.0,832.0,1,76238.0,80.0,3141.0,3441891.0,2.5469595670168736,1.0,2021-09
559,2021-09-05,29.0,10,10.0,832.0,1,76245.0,7.0,220.0,3442111.0,3.1818181818181817,0.0,2021-09
560,2021-09-06,30.0,10,10.0,832.0,3,76358.0,113.0,6021.0,3448132.0,1.8767646570337155,0.0,2021-09
561,2021-09-07,28.0,10,10.0,833.0,3,76455.0,97.0,4310.0,3452442.0,2.2505800464037122,1.0,2021-09
562,2021-09-08,27.0,10,10.0,833.0,2,76540.0,85.0,3607.0,3456049.0,2.3565289714444138,0.0,2021-09
563,2021-09-09,30.0,10,10.0,834.0,3,76632.0,92.0,5015.0,3461064.0,1.8344965104685942,1.0,2021-09
564,2021-09-10,31.0,10,10.0,834.0,9,76732.0,100.0,6479.0,3467543.0,1.543448062972681,0.0,2021-09
565,2021-09-11,30.0,10,10.0,834.0,6,76794.0,62.0,3604.0,3471147.0,1.7203107658157604,0.0,2021-09
566,2021-09-12,28.0,9,9.0,834.0,3,76798.0,4.0,597.0,3471744.0,0.6700167504187605,0.0,2021-09
567,2021-09-13,28.0,9,9.0,834.0,8,76894.0,96.0,7605.0,3479349.0,1.26232741617357,0.0,2021-09
568,2021-09-14,24.0,8,8.0,834.0,5,76996.0,102.0,7357.0,3486706.0,1.3864346880521952,0.0,2021-09
569,2021-09-15,18.0,9,9.0,834.0,3,77098.0,102.0,6400.0,3493106.0,1.59375,0.0,2021-09
570,2021-09-16,16.0,9,9.0,834.0,2,77189.0,91.0,4295.0,3497401.0,2.118742724097788,0.0,2021-09
571,2021-09-17,18.0,10,10.0,834.0,4,77282.0,93.0,1586.0,3498987.0,5.863808322824717,0.0,2021-09
572,2021-09-18,20.0,9,9.0,834.0,2,77338.0,56.0,1484.0,3500471.0,3.7735849056603774,0.0,2021-09
573,2021-09-19,20.0,9,9.0,834.0,1,77340.0,2.0,265.0,3500736.0,0.7547169811320755,0.0,2021-09
574,2021-09-20,22.0,8,8.0,834.0,2,77411.0,71.0,1692.0,3502428.0,4.196217494089835,0.0,2021-09
575,2021-09-21,19.0,8,8.0,835.0,4,77552.0,141.0,2089.0,3504517.0,6.749640976543801,1.0,2021-09
576,2021-09-22,16.0,8,8.0,835.0,4,77688.0,136.0,2298.0,3506815.0,5.918189730200174,0.0,2021-09
577,2021-09-23,16.0,8,8.0,835.0,4,77762.0,74.0,2103.0,3508918.0,3.518782691393248,0.0,2021-09
578,2021-09-24,13.0,8,8.0,835.0,3,77848.0,86.0,2499.0,3511417.0,3.441376550620248,0.0,2021-09
579,2021-09-25,16.0,7,7.0,835.0,5,77923.0,75.0,2171.0,3513588.0,3.454629203132197,0.0,2021-09
580,2021-09-26,12.0,8,8.0,835.0,2,77930.0,7.0,279.0,3513867.0,2.5089605734767026,0.0,2021-09
581,2021-09-27,13.0,9,9.0,835.0,3,77998.0,68.0,1753.0,3515620.0,3.87906446092413,0.0,2021-09
582,2021-09-28,16.0,9,9.0,835.0,2,78130.0,132.0,3021.0,3518641.0,4.369414101290963,0.0,2021-09
583,2021-09-29,18.0,8,8.0,835.0,1,78219.0,89.0,2541.0,3521182.0,3.502558048012593,0.0,2021-09
584,2021-09-30,17.0,9,9.0,835.0,3,78326.0,107.0,2305.0,3523487.0,4.642082429501085,0.0,2021-09
